,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,duration_min,hour,day_of_week,is_weekend
0,2,2015-01-09 20:29:43,2015-01-09 20:32:57,1,0.6,-73.97498321533203,40.75384521484375,1,N,-73.9801025390625,40.76142883300781,1,4.0,0.5,0.5,1.12,0.0,0.3,6.42,3.23,20,6,True
1,2,2015-01-23 09:45:33,2015-01-23 10:00:37,1,1.37,-73.98347473144531,40.775482177734375,1,N,-73.9835205078125,40.76150131225586,2,10.5,0.0,0.5,0.0,0.0,0.3,11.3,15.07,9,6,True
2,1,2015-01-21 00:53:13,2015-01-21 01:04:42,2,2.5,-73.9839096069336,40.7255973815918,1,N,-73.99076843261719,40.75020980834961,1,11.0,0.5,0.5,3.05,0.0,0.3,15.35,11.48,0,4,False
3,2,2015-01-18 12:20:42,2015-01-18 12:26:29,1,1.25,-73.99183654785156,40.73851776123047,1,N,-73.97825622558594,40.74403381347656,1,6.5,0.0,0.5,1.3,0.0,0.3,8.6,5.78,12,1,False
4,1,2015-01-28 08:38:34,2015-01-28 09:26:59,2,5.4,-73.97124481201172,40.79789352416992,1,N,-73.98574829101562,40.74103927612305,1,29.5,0.0,0.5,9.05,0.0,0.3,39.35,48.42,8,4,False
5,1,2015-01-10 22:53:22,2015-01-10 23:07:47,1,1.7,-73.96871185302734,40.76125717163086,1,N,-73.98912048339844,40.75119400024414,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8,14.42,22,7,True
6,1,2015-01-28 08:38:36,2015-01-28 08:41:26,1,0.4,-74.0080337524414,40.7318115234375,1,N,-74.0094985961914,40.726043701171875,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8,2.83,8,4,False
7,2,2015-01-15 11:08:29,2015-01-15 11:19:43,1,1.91,-73.9875259399414,40.732505798339844,1,N,-74.0052490234375,40.71485137939453,1,9.5,0.0,0.5,1.9,0.0,0.3,12.2,11.23,11,5,False
8,1,2015-01-11 01:03:46,2015-01-11 01:14:14,1,2.4,-73.9991226196289,40.742435455322266,1,N,-73.97339630126953,40.755863189697266,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8,10.47,1,1,False
9,1,2015-01-11 01:18:52,2015-01-11 01:30:27,2,2.5,-73.9889144897461,40.734046936035156,1,N,-73.99563598632812,40.759159088134766,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,11.58,1,1,False
